"","employees","salaries_2017","adjustments","salaries_2018","raise"
"1","Employee 1",49410.0145949051,-2931.47406191565,46478.5405329894,FALSE
"2","Employee 2",40979.7256439924,-2385.39284327999,38594.3328007124,FALSE
"3","Employee 3",40833.4656688385,4440.76773361303,45274.2334024515,TRUE
"4","Employee 4",45523.9971610717,-2042.34091215767,43481.6562489141,FALSE
"5","Employee 5",48443.3276369236,8015.30320080929,56458.6308377329,TRUE
"6","Employee 6",48834.0049725957,485.119171207771,49319.1241438035,TRUE
"7","Employee 7",40957.9827496782,-2182.62859154493,38775.3541581333,FALSE
"8","Employee 8",41813.2361094467,-867.995248408988,40945.2408610377,FALSE
"9","Employee 9",47592.9526751861,6820.49787021242,54413.4505453985,TRUE
"10","Employee 10",42658.2732028328,2714.82055424713,45373.0937570799,TRUE
"11","Employee 11",40481.5568006597,4843.67988537997,45325.2366860397,TRUE
"12","Employee 12",46872.7169628255,-4029.57874117419,42843.1382216513,FALSE
"13","Employee 13",48032.1141541936,8546.75460373983,56578.8687579334,TRUE
"14","Employee 14",45959.1827099212,4154.97513255104,50114.1578424722,TRUE
"15","Employee 15",40445.6794750877,8889.44394420832,49335.123419296,TRUE
"16","Employee 16",46701.2378643267,6704.1885422077,53405.4264065344,TRUE
"17","Employee 17",47826.2418275699,3323.70922784321,51149.9510554131,TRUE
"18","Employee 18",45791.948873084,5035.39008321241,50827.3389562964,TRUE
"19","Employee 19",41400.4746126011,-4763.12173064798,36637.3528819531,FALSE
"20","Employee 20",49229.4542817399,6032.76262176223,55262.2169035021,TRUE
"21","Employee 21",43767.5202987157,4923.87398146093,48691.3942801766,TRUE
"22","Employee 22",43447.851985693,-3567.05308659002,39880.798899103,FALSE
"23","Employee 23",48470.4995248467,2133.09575687163,50603.5952817183,TRUE
"24","Employee 24",41910.9910679981,3746.0963090416,45657.0873770397,TRUE
"25","Employee 25",44160.7921943069,4069.24757990055,48230.0397742074,TRUE
"26","Employee 26",47039.530982729,190.071758115664,47229.6027408447,TRUE
"27","Employee 27",41704.7632113099,4904.44277063943,46609.2059819493,TRUE
"28","Employee 28",43683.2148907706,6261.00027700886,49944.2151677795,TRUE
"29","Employee 29",46350.3339840099,1895.66367771477,48245.9976617247,TRUE
